Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 619040, 600847, 125487, 98897, 98897, 99830, 85369, 83969, 84902, 84436, 198167
A-Star    , 10, 100, 154877, 138549, 138550, 55046, 29856, 28923, 27057, 25191, 25658, 24724, 64843
Dijkstra's, 11, 121, 116624, 113359, 106828, 104028, 103096, 103096, 104029, 104962, 102629, 103562, 106221
A-Star    , 11, 121, 30789, 29855, 25191, 24724, 24724, 24257, 24258, 24725, 23791, 23325, 25563
Dijkstra's, 12, 144, 139949, 139482, 140416, 139949, 140415, 140415, 141348, 138083, 140415, 141815, 140228
A-Star    , 12, 144, 30322, 28923, 27989, 28923, 27989, 27524, 27523, 28923, 28923, 28456, 28549
Dijkstra's, 13, 169, 196862, 193130, 194063, 193596, 194995, 194063, 193129, 191263, 189863, 190796, 193176
A-Star    , 13, 169, 36387, 35920, 36386, 35920, 36853, 34988, 34987, 34987, 34988, 34521, 35593
Dijkstra's, 14, 196, 252841, 253308, 253307, 253774, 283630, 256573, 259372, 249109, 254241, 249575, 256573
A-Star    , 14, 196, 42918, 43850, 43384, 43851, 43851, 43851, 44317, 42451, 42918, 42451, 43384
Dijkstra's, 15, 225, 344274, 348472, 342408, 342875, 341475, 342874, 341475, 343341, 341941, 349405, 343854
A-Star    , 15, 225, 54113, 54113, 52714, 54580, 53180, 54113, 54580, 53180, 52714, 54114, 53740
Dijkstra's, 16, 256, 461831, 454366, 458099, 457632, 464163, 460431, 475359, 456233, 451101, 451102, 459031
A-Star    , 16, 256, 64376, 66243, 65776, 64843, 68108, 64377, 73240, 60177, 59712, 60644, 64749
Dijkstra's, 17, 289, 580321, 582187, 630702, 581253, 583119, 614841, 589650, 578455, 578455, 581720, 590070
A-Star    , 17, 289, 76039, 72773, 90034, 72307, 75106, 76039, 74640, 72773, 75106, 72307, 75712
Dijkstra's, 18, 324, 732399, 786978, 730066, 807037, 731465, 726800, 723535, 734264, 730998, 730999, 743454
A-Star    , 18, 324, 85835, 152545, 91433, 92833, 85369, 87234, 84902, 91433, 84903, 91900, 94838
Dijkstra's, 19, 361, 967512, 960982, 942321, 1006698, 991303, 937657, 937656, 929260, 939522, 934391, 954730
A-Star    , 19, 361, 113825, 111026, 110560, 109626, 109626, 106361, 109626, 110093, 110093, 109627, 110046
Dijkstra's, 20, 400, 1192830, 1164373, 1151778, 1169038, 1159709, 1155977, 1164840, 1155976, 1216154, 1155044, 1168571
A-Star    , 20, 400, 123155, 124088, 124088, 126887, 125954, 125021, 125487, 125954, 132019, 126420, 125907
Dijkstra's, 21, 441, 1403220, 1453601, 1419080, 1478325, 1409750, 1582353, 1406485, 1406951, 1581421, 1408817, 1455000
A-Star    , 21, 441, 147879, 152077, 146013, 151612, 145546, 146480, 144614, 147879, 150678, 145547, 147832
Dijkstra's, 22, 484, 1831929, 1765686, 1915432, 1800207, 1805805, 1775016, 1877645, 1966280, 1790411, 1863185, 1839159
A-Star    , 22, 484, 176802, 173070, 171670, 174469, 175869, 168405, 175402, 175869, 173070, 172137, 173676
