Dijkster's vs A-Star Corner to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 14, 196, 278965, 276632, 278498, 285495, 276166, 276166, 279431, 278031, 283629, 278498, 279151
A-Star    , 14, 196, 31722, 29389, 25657, 25657, 26590, 26123, 38253, 30322, 29390, 25657, 28876
Dijkstra's, 15, 225, 369465, 367132, 372264, 375529, 368065, 370398, 376462, 373663, 374596, 373197, 372077
A-Star    , 15, 225, 30789, 28923, 28923, 28922, 32654, 34054, 29389, 30789, 28923, 29389, 30275
Dijkstra's, 16, 256, 488888, 516877, 494952, 494019, 496351, 493553, 487488, 487488, 497285, 489820, 494672
A-Star    , 16, 256, 44318, 37320, 36853, 42451, 41518, 41051, 41052, 36853, 83969, 36387, 44177
Dijkstra's, 17, 289, 635367, 636766, 635367, 627903, 647496, 629770, 631635, 622306, 633035, 640499, 634014
A-Star    , 17, 289, 47116, 46650, 46650, 46650, 41518, 41052, 46649, 41052, 59245, 41518, 45810
Dijkstra's, 18, 324, 792577, 811236, 786978, 793042, 800507, 795842, 789777, 798641, 800040, 879812, 804845
A-Star    , 18, 324, 57379, 53647, 63910, 55513, 59245, 56446, 56912, 58778, 50382, 61578, 57379
Dijkstra's, 19, 361, 1156443, 992237, 999701, 974510, 969845, 992703, 983373, 997834, 983373, 995502, 1004552
A-Star    , 19, 361, 69974, 62977, 62511, 57378, 60178, 56912, 63910, 62977, 56446, 60178, 61344
Dijkstra's, 20, 400, 1217554, 1238080, 1241345, 1296858, 1219887, 1284729, 1235747, 1254407, 1224551, 1213356, 1242651
A-Star    , 20, 400, 69974, 86302, 85369, 92832, 66243, 75572, 83969, 66243, 67175, 76505, 77018
Dijkstra's, 21, 441, 1670055, 1474593, 1536638, 1537104, 1488121, 1515179, 1484390, 1489988, 1486255, 1634135, 1531645
A-Star    , 21, 441, 87702, 72307, 76971, 89567, 72773, 74640, 78372, 73240, 89567, 72307, 78744
Dijkstra's, 22, 484, 1872514, 1861785, 1851989, 1956484, 1882777, 1791343, 1863650, 1844058, 1919630, 1782481, 1862671
A-Star    , 22, 484, 90966, 92367, 109160, 128287, 95165, 95166, 105894, 88168, 104495, 108693, 101836
Dijkstra's, 23, 529, 2888075, 2855887, 3508982, 3097532, 2900204, 3361103, 2908134, 2928195, 2951052, 2894140, 3029330
A-Star    , 23, 529, 131085, 137616, 172137, 167006, 145080, 131552, 149746, 145547, 202460, 163274, 154550
Dijkstra's, 24, 576, 4519412, 5202362, 5004100, 4962583, 5257875, 5000369, 4659360, 5122590, 5152912, 5015297, 4989686
A-Star    , 24, 576, 229516, 231382, 204792, 253774, 342875, 213655, 193130, 204791, 222985, 243044, 233994
Dijkstra's, 25, 625, 6387727, 6446506, 6465632, 6458634, 6448838, 6395657, 6400789, 6521611, 6520212, 6568727, 6461433
A-Star    , 25, 625, 279898, 277565, 262171, 245843, 264503, 232315, 300424, 325148, 259372, 279431, 272667
Dijkstra's, 26, 676, 8099766, 8047519, 7997604, 7909902, 7986408, 7993406, 7889844, 8122158, 7977545, 8048919, 8007307
A-Star    , 26, 676, 343341, 324215, 363867, 313019, 332145, 416581, 345673, 320483, 407251, 330279, 349685
Dijkstra's, 27, 729, 9770755, 9743698, 9675590, 9650866, 9758160, 9756293, 9823468, 9839329, 9635937, 9718041, 9737213
A-Star    , 27, 729, 370397, 439439, 355470, 432441, 369931, 352204, 388124, 457166, 401653, 369465, 393629
Dijkstra's, 28, 784, 11693651, 11686186, 11640937, 11625542, 11765024, 11702980, 11743099, 11656331, 11671259, 11666593, 11685160
A-Star    , 28, 784, 442705, 481890, 500550, 442704, 433841, 440838, 506614, 424978, 531805, 482823, 468874
Dijkstra's, 29, 841, 13665062, 13663195, 13707513, 13929565, 13831600, 13711711, 13860989, 13687453, 13731771, 13608150, 13739700
A-Star    , 29, 841, 572391, 587785, 505215, 440373, 539269, 542068, 490287, 524808, 540202, 450168, 519256
Dijkstra's, 30, 900, 16136090, 16070314, 16119296, 16195335, 16107634, 16130026, 16148219, 16139822, 16141688, 16067515, 16125593
A-Star    , 30, 900, 598047, 589651, 658692, 513612, 506148, 536470, 699277, 576122, 585918, 529473, 579341
Dijkstra's, 31, 961, 18390664, 18626244, 18777389, 18799315, 18772724, 18471368, 18400927, 18658899, 18760129, 18774123, 18643178
A-Star    , 31, 961, 579388, 563993, 549532, 745927, 570524, 675952, 559795, 596648, 713272, 620440, 617547
Dijkstra's, 32, 1024, 21826406, 21910375, 21996210, 21825940, 22287304, 21755032, 21898246, 21776491, 21749901, 22313894, 21933979
A-Star    , 32, 1024, 682017, 677352, 718404, 764121, 688081, 668022, 708141, 639566, 738929, 751991, 703662
Dijkstra's, 33, 1089, 24857696, 24914608, 25465540, 25002776, 24686025, 26499760, 24932801, 25059221, 25075549, 24760665, 25125464
A-Star    , 33, 1089, 828963, 779981, 748260, 909667, 656359, 707674, 769719, 806104, 767852, 689948, 766452
Dijkstra's, 34, 1156, 29037964, 28893817, 29027702, 28852765, 38995784, 28994114, 28661035, 28984317, 28737075, 28790255, 29897482
A-Star    , 34, 1156, 1052881, 870015, 831762, 839692, 931592, 859752, 1148046, 839693, 797241, 795375, 896604
Dijkstra's, 35, 1225, 33328792, 33590031, 32951398, 33056826, 33155723, 33400633, 33461744, 33036766, 32958395, 33439352, 33237966
A-Star    , 35, 1225, 1110260, 1030023, 909667, 1063144, 984772, 929260, 1037020, 961448, 873746, 935324, 983466
Dijkstra's, 36, 1296, 37379843, 38055795, 38950534, 37441886, 49080490, 38374878, 37500198, 38824580, 37496933, 37533319, 39063845
A-Star    , 36, 1296, 1147580, 977775, 1055680, 1333711, 1100930, 1037953, 1115391, 1057546, 1141515, 1336977, 1130505
Dijkstra's, 37, 1369, 44012013, 43100480, 42785129, 43637417, 43466213, 42891490, 44318968, 42807054, 42455317, 43788096, 43326217
A-Star    , 37, 1369, 1200294, 1322982, 1021160, 14577061, 1294993, 1134518, 1190031, 1050082, 1110260, 1161575, 2506295
Dijkstra's, 38, 1444, 48734350, 48888761, 49838545, 48499703, 49953771, 48787997, 50037740, 48685835, 49052500, 49154663, 49163386
A-Star    , 38, 1444, 1179768, 1211489, 1205425, 1272134, 1228283, 1444271, 1299191, 1191431, 1420946, 1201693, 1265463
Dijkstra's, 39, 1521, 55229837, 55713128, 55748115, 55380515, 56511768, 54773605, 55153799, 55903458, 56145103, 55735986, 55629531
A-Star    , 39, 1521, 1761955, 1391557, 1348173, 1425612, 1441006, 1277732, 1192830, 1283330, 1396222, 1298725, 1381714
Dijkstra's, 40, 1600, 62885501, 62952210, 62431600, 63261496, 62220277, 62214679, 62502974, 62897629, 62883635, 62989995, 62723999
A-Star    , 40, 1600, 1681717, 1453134, 1689181, 1622472, 1496985, 1587952, 1525908, 1561361, 1451269, 1562761, 1563274
Dijkstra's, 41, 1681, 71283824, 70807998, 70556558, 70230477, 71048244, 70646124, 71190059, 71023054, 70040613, 70566354, 70739330
